ÀÏ½Ã,°¡½Ã¸®Ç³·Â,±è³çÇ³·Â,µ¿º¹Ç³·Â,½ÅÃ¢Ç³·Â,Çà¿øÇ³·Â,Ç³·ÂÀüÃ¼
2023-10-01,127725.12,4367.52,87926.4,11892.42,56109.873,288021.333
2023-10-02,49194.72,2217.24,41414.4,6889.5,28861.47,128577.33
2023-10-03,12202.56,3142.8,59961.6,5172.66,83016.066,163495.686
2023-10-04,64144.8,2009.88,41443.2,8946.9,57288.593,173833.373
2023-10-05,161860.32,10336.68,306201.6,18211.68,177413.572,674023.852
2023-10-06,136847.52,761.76,39628.8,10927.44,28712.45,216877.97
2023-10-07,44975.52,1331.46,14659.2,8965.8,32657.291,102589.271
2023-10-08,56344.32,8537.58,250617.6,7048.98,205853.275,528401.755
2023-10-09,43662.24,2807.1,58348.8,10210.5,68734.047,183762.687
2023-10-10,64270.08,3350.34,94262.4,12231.54,61775.586,235889.946
2023-10-11,41929.92,2566.62,74044.8,6699.78,53447.463,178688.583
2023-10-12,17591.04,1650.6,40176,7432.02,42246.35,109096.01
2023-10-13,24461.28,913.5,20361.6,4927.68,20527.427,71191.487
2023-10-14,16882.56,2910.24,73612.8,4199.58,66283.836,163889.016
2023-10-15,31086.72,6750,205689.6,10710.36,149334.6,403571.28
2023-10-16,115601.76,6366.42,197107.2,12486.42,127530.993,459092.793
2023-10-17,97776,5516.28,121651.2,10045.8,106434.646,341423.926
2023-10-18,2504.16,244.98,1872,238.5,4752.28,9611.92
2023-10-19,1470.24,148.5,4233.6,89.82,130.117,6072.277
2023-10-20,174929.76,7742.7,405676.8,19656.72,137674.349,745680.329
2023-10-21,60488.64,8468.64,249494.4,12172.68,140945.59,471569.95
2023-10-22,42199.2,1373.22,27504,1419.66,42837.978,115334.058
2023-10-23,1604.16,131.4,777.6,0,50.885,2564.045
2023-10-24,110.88,89.64,0,27,0,227.52
2023-10-25,3916.8,160.38,1296,0,961.659,6334.839
2023-10-26,5024.16,1911.6,83721.6,1259.82,41819.844,133737.024
2023-10-27,120538.08,7882.56,143884.8,11313.54,140545.152,424164.132
2023-10-28,75414.24,892.26,28281.6,2968.56,25030.159,132586.819
2023-10-29,2928.96,183.24,2332.8,5.22,6547.437,11997.657
2023-10-30,18.72,208.44,6912,121.68,2451.707,9712.547
2023-10-31,852.48,205.2,316.8,67.68,1672.321,3114.481
2023-11-01,8742.24,143.1,3657.6,3031.56,351.937,15926.437
2023-11-02,27876.96,444.06,11318.4,3187.98,6001.426,48828.826
2023-11-03,23150.88,535.68,21513.6,2614.14,13684.034,61498.334
2023-11-04,3450.24,645.66,47404.8,726.3,21629.117,73856.117
2023-11-05,145506.24,2793.6,216835.2,12819.24,114666.595,492620.875
2023-11-06,144066.24,614.34,487872,13595.4,222545.847,868693.827
2023-11-07,115269.12,4690.98,307209.6,13473.18,204054.679,644697.559
2023-11-08,26032.32,591.66,28569.6,3463.92,19384.939,78042.439
2023-11-09,9390.24,384.84,26352,2997.72,7457.451,46582.251
2023-11-10,149261.76,4995.36,329673.6,16777.62,128608.956,629317.296
2023-11-11,156055.68,3774.24,208886.4,11825.82,131876.595,512418.735
2023-11-12,97770.24,6540.66,364780.8,18783.72,158948.7,646824.12
2023-11-13,102700.8,7989.12,349891.2,16423.74,155301.42,632306.28
2023-11-14,85263.84,2939.22,56851.2,5442.66,68391,218887.92
2023-11-15,25256.16,976.32,23644.8,2427.66,20920.98,73225.92
2023-11-16,60799.68,3391.56,233424,5737.14,85971.36,389323.74
2023-11-17,118985.76,2825.1,486892.8,7970.76,138397.38,755071.8
2023-11-18,107828.64,486,496339.2,7559.82,65620.98,677834.64
2023-11-19,44658.72,8942.58,217785.6,8304.66,60644.46,340336.02
2023-11-20,59371.2,3003.3,75916.8,9325.98,13392.24,161009.52
2023-11-21,27.36,121.32,1152,30.24,173.46,1504.38
2023-11-22,15759.36,126.72,806.4,2198.16,2507.82,21398.46
2023-11-23,88966.08,4152.06,226627.2,10002.42,74914.8,404662.56
2023-11-24,202073.76,1890,529689.6,21472.2,163827.12,918952.68
2023-11-25,120761.28,3353.58,97257.6,10880.82,69431.58,301684.86
2023-11-26,17049.6,139.86,432,422.46,932.88,18976.8
2023-11-27,38367.36,6551.46,200563.2,8765.82,90878.52,345126.36
2023-11-28,33383.52,6696.9,233222.4,12060.54,140687.58,426050.94
2023-11-29,58950.72,1944,68025.6,6566.04,45705.48,181191.84
2023-11-30,134153.28,6890.76,417254.4,20842.38,137697,716837.82
2023-12-01,55663.2,5818.32,341971.2,17915.22,147990,569357.94
2023-12-02,9586.08,2141.28,56016,4998.78,48901.56,121643.7
2023-12-03,72155.52,4074.48,96883.2,6744.78,88755.84,268613.82
2023-12-04,39657.6,280.8,6825.6,2263.68,8895.06,57922.74
2023-12-05,52171.2,247.5,1756.8,2760.3,4398.3,61334.1
2023-12-06,63511.2,877.32,185990.4,9964.26,46176.36,306519.54
2023-12-07,17753.76,1161.18,211392,7980.48,91852.8,330140.22
2023-12-08,135993.6,4705.2,69811.2,13748.04,107468.76,331726.8
2023-12-09,26517.6,383.04,12614.4,6182.1,4421.04,50118.18
2023-12-10,3084.48,1457.1,74563.2,4732.92,45111.9,128949.6
2023-12-11,75641.76,8154.36,268617.6,10517.58,146988.36,509919.66
2023-12-12,162256.32,2427.66,246902.4,14806.26,94227.9,520620.54
2023-12-13,22658.4,5250.96,69984,5031.18,79591.8,182516.34
2023-12-14,66732.48,2350.8,47808,6601.32,64304.4,187797
2023-12-15,152935.2,4683.96,242985.6,16011.18,96327,512942.94
2023-12-16,161681.76,64.62,608688,22510.98,112409.04,905354.4
2023-12-17,66636,5998.68,387734.4,14554.62,124046.94,598970.64
2023-12-18,53910.72,1349.64,26553.6,10600.38,20170.56,112584.9
2023-12-19,42085.44,3573.72,109036.8,15018.48,65630.64,235345.08
2023-12-20,89370.72,2625.12,602611.2,12866.04,166718.4,874191.48
2023-12-21,58191.84,5707.98,548582.4,22210.92,113241.84,747934.98
2023-12-22,72662.4,5805.36,427939.2,19102.5,111640.38,637149.84
2023-12-23,18495.36,2596.68,65606.4,2961.36,28393.56,118053.36
2023-12-24,42222.24,3681.18,91180.8,6389.28,32277.96,175751.46
2023-12-25,6288.48,6636.24,187488,6966.36,57893.52,265272.6
2023-12-26,13034.88,156.42,9216,562.5,929.58,23899.38
2023-12-27,25704,148.32,0,4412.7,623.94,30888.96
2023-12-28,58908.96,700.2,19728,5706.36,7559.82,92603.34
