ÀÏ½Ã,°¡½Ã¸®Ç³·Â,±è³çÇ³·Â,µ¿º¹Ç³·Â,½ÅÃ¢Ç³·Â,Çà¿øÇ³·Â,Ç³·ÂÀüÃ¼
2025-01-01,122140.8,1509.48,34099,6004.26,12019,175773
2025-01-02,71706,3688.02,85478,9858.6,24961,195692
2025-01-03,89296,7369,241171,20264.04,49477,407578
2025-01-04,26338,2277,64656,2827.26,15160,111258
2025-01-05,4518.72,355.86,21254,2023.02,2353,30505
2025-01-06,98614,3479.4,411379,20743.92,48521,582737
2025-01-07,66300,838.62,572314,26370.72,70112,735936
2025-01-08,55641.6,7953.66,308362,17020.98,45770.4,434748
2025-01-09,122757,276,606557,27667.62,64002,821260
2025-01-10,160250,6051,390902,24923,66074,648202
2025-01-11,29307,8805,284486,16426,46397,385421
2025-01-12,48792,6763,209174,14462,20168,299360
2025-01-13,16100.64,2716.2,70243,4066.02,7821.6,100948
2025-01-14,21734,1666.08,70560,4556,5307.6,103823
2025-01-15,157690,8501,486202,28454,39256,720102
2025-01-16,59524,10140.3,305510,16272,37358,428805
2025-01-17,85783.68,3732.48,113299,9264.24,19686,231766
2025-01-18,9197,424.8,8928,1006.2,713,20269
2025-01-19,22631,499,18922,576,2362,44989
2025-01-20,49516,4434,142243,8704,30874,235771
2025-01-21,97078,2970,78998,4385,25852,209283
2025-01-22,13339,224,3658,2484,1524,21228
2025-01-23,5383,111,259,4387,2,10142
2025-01-24,53698,1031,18518,9668,5831,88746
2025-01-25,78152,8648,277258,13442,64252,441752
2025-01-26,30362,1058.4,137750,5365,41966,216502
2025-01-27,81708,18.72,444384,23483,66547,616141
2025-01-28,38268,23,589795,17165,87349,732600
2025-01-29,52358,3519,494870,0,72384,623132
2025-01-30,8506,301,6826,0,722,16355
2025-01-31,6817,1915,118426,9064,13196,149418
2025-02-01,101206,2173,290419,8823,51011,453632
2025-02-02,78808,67,98208,0,29657,206740
2025-02-03,113743,35,597946,3938,79134,794795
2025-02-04,54366,36,612835,4773,65564,737575
2025-02-05,90469,877,573581,2313,69346,736585
2025-02-06,22084,7538,244714,11720,40890,326945
2025-02-07,62231,2899,489830,16615,22336,593911
2025-02-08,149475,4444,482602,17279,63323,717122
2025-02-09,33614,9066,263635,20570,55226,382112
2025-02-10,68109,4098.42,118022.4,11450,28522.8,230203
2025-02-11,23784,1366.02,62208,5389,10219,102967
2025-02-12,89006,4763,370685,17116,23506,505075
2025-02-13,126392,4316.76,303235,13270,58344,505558
2025-02-14,35791,907.92,6106,1403,7994,52202
2025-02-15,58,14,144,3,0,218
2025-02-16,49743,5388,140688,4056,19387,219263
2025-02-17,145555,6415,537437,18944,70824,779175
2025-02-18,129482,9005,516154,18612,75530,748783
2025-02-19,104456,5876.28,480643,17164,77686,685826
2025-02-20,156149,9189,299232,14669,68932,548170
2025-02-21,155615,8940,283190,14954,58683,521383
2025-02-22,141892,7570,240883,10511,54266,455122
2025-02-23,137390,4280,519408,17564,82217,760860
2025-02-24,157732,6375,462010,952,80205,707274
2025-02-25,33486,2290,68400,499,16486,121161
2025-02-26,32777,5030,138643,3327,29488,209265
2025-02-27,9164,844,60883,2866,4940,78697
2025-02-28,766,268,15523,1383,2323,20264
2025-03-01,34775,1744,68342,7908,8623,121392
2025-03-02,16086,1409,39024,9232,6224,71975
2025-03-03,137578,2949,512640,8835,22446,684448
2025-03-04,110016,2869,415843,8226,5943,542897
2025-03-05,33346,1754,27072,5842,3602,71616
2025-03-06,132879,6289,164477,9473,18838,331955
2025-03-07,46090,1398,41616,1236,3812,94152
2025-03-08,334,210,7805,1754,1124,11228
2025-03-09,36079,343.44,2188.8,2437,571,41619
2025-03-10,157,849,36806,109,1973,39894
2025-03-11,4808,659,19786,257,1525,27035
2025-03-12,24202,311,6048,1418,1296,33275
2025-03-13,95604,2098.8,39225.6,8855,8765,154549
2025-03-14,70759,7307,208483,7388,14621,308558
2025-03-15,162308,3630,502992,6385,15716,691031
2025-03-16,103186,5936,411379,9149.76,17562,547213
2025-03-17,56663,5586,374285,5623.74,10121,452278
2025-03-18,135814,797,532253,10443,28314,707620
2025-03-19,79266,4790,299981,6107,28704,418847
2025-03-20,17657,5917,224986,7632,12468,268660
2025-03-21,62912,4605,223114,3516,9098,303245
2025-03-22,60098,4830,207475,1944,16102,290449
2025-03-23,21051,2844,119088,1864,9976,154822
2025-03-24,54896,3825,201542,4659,8897,273818
2025-03-25,28760,3962,142762,4541,10644,190667
2025-03-26,50030,2348.46,41184,5256,10305,109124
2025-03-27,132853,6211,214301,6024,25072,384461
2025-03-28,115011,6763.5,379843,7820,38952,548391
2025-03-29,96323,6474,226800,8231,28473,366301
2025-03-30,61464,4359,144893,6110,20278,237104
2025-03-31,52694,1076.94,25373,1708,8108,88960
