일시,일조합(hr),일조율(%),일사합(MJ/m2)
2024-07-14,0.1,0.7,5.39
2024-07-15,0,0,5.14
2024-07-16,2.1,14.9,15.66
2024-07-17,2.3,16.3,15.98
2024-07-18,0,0,3.42
2024-07-19,0.1,0.7,5.47
2024-07-20,1,7.1,11.82
2024-07-21,3.6,25.7,16.16
2024-07-22,6.4,45.7,22.05
2024-07-23,6.5,46.4,22.17
2024-07-24,9.9,70.7,23.78
2024-07-25,6.5,46.8,20.49
2024-07-26,0.1,0.7,6.77
2024-07-27,2.9,20.9,17.39
2024-07-28,6.7,48.2,22.28
2024-07-29,11.1,80.4,28.01
2024-07-30,12.3,89.1,28.23
2024-07-31,12,87,28.23
2024-08-01,9.7,70.3,24.56
2024-08-02,6.9,50,17.71
2024-08-03,10.4,75.9,20.4
2024-08-04,9,65.7,22.32
2024-08-05,6.5,47.4,16.92
2024-08-06,10,73,21.46
2024-08-07,9.2,67.6,22.8
2024-08-08,9.5,69.9,23.33
2024-08-09,10.3,75.7,26.36
2024-08-10,7.3,54.1,18.52
2024-08-11,6.3,46.7,18.34
2024-08-12,11.9,88.1,26.56
2024-08-13,8.9,65.9,20.19
2024-08-14,7.6,56.7,15.68
2024-08-15,7.2,53.7,19.37
2024-08-16,8.4,62.7,22.32
2024-08-17,5.5,41.4,14.82
2024-08-18,6.1,45.9,17.31
2024-08-19,10.7,80.5,25.15
2024-08-20,1.1,8.3,9.89
2024-08-21,3.5,26.5,13.95
2024-08-22,5.4,40.9,14.94
2024-08-23,7.7,58.8,20.79
2024-08-24,8.3,63.4,21.48
2024-08-25,7.4,56.5,17.65
2024-08-26,8.8,67.2,21.5
2024-08-27,8.4,64.6,21.26
2024-08-28,7.3,56.2,21.34
2024-08-29,8.8,67.7,22.82
2024-08-30,10.6,82.2,25.17
2024-08-31,10.7,82.9,25.82
2024-09-01,10.1,78.3,25.27
2024-09-02,10.4,81.3,22.97
2024-09-03,3.6,28.1,14.88
2024-09-04,7.9,61.7,22.4
2024-09-05,10.5,82.7,23.57
2024-09-06,9.7,76.4,23.24
2024-09-07,7.2,56.7,18.49
2024-09-08,5.8,46,15.53
2024-09-09,10,79.4,21.91
2024-09-10,7.7,61.1,20.51
2024-09-11,3.2,25.6,12.62
2024-09-12,8.1,64.8,21.34
2024-09-13,10.6,84.8,22.98
2024-09-14,10.8,87.1,23.1
2024-09-15,6.4,51.6,16.33
2024-09-16,1.6,12.9,9.37
2024-09-17,5.4,43.9,12.91
2024-09-18,9.6,78,22.23
2024-09-19,6.6,53.7,16.2
2024-09-20,0,0,5.38
2024-09-21,0.1,0.8,2.84
2024-09-22,1,8.3,10.65
2024-09-23,9.1,75.2,19.74
2024-09-24,8.3,68.6,20.2
2024-09-25,2.7,22.5,11.06
2024-09-26,7.6,63.3,16.89
2024-09-27,9,75,18.14
2024-09-28,10,84,19.4
2024-09-29,7.9,66.4,15.9
2024-09-30,9.6,80.7,19.31
2024-10-01,5.4,45.8,14.65
2024-10-02,3.4,28.8,13.77
2024-10-03,1.1,9.3,9.28
2024-10-04,10.6,90.6,20.91
2024-10-05,10,85.5,19.94
2024-10-06,1.2,10.3,10.14
2024-10-07,0,0,2.44
2024-10-08,9.4,81,18.65
2024-10-09,0.3,2.6,5.93
2024-10-10,3.5,30.2,13.47
2024-10-11,8.9,77.4,17.99
2024-10-12,9.6,83.5,17.54
2024-10-13,8.5,74.6,17.26
2024-10-14,1,8.8,6.49
2024-10-15,6,52.6,14.81
2024-10-16,5.4,47.8,13.85
2024-10-17,1.4,12.4,7.43
2024-10-18,1.3,11.5,6.72
2024-10-19,7.3,64.6,14.73
2024-10-20,0,0,4.08
2024-10-21,1,8.9,8.27
2024-10-22,7,63.1,14.91
2024-10-23,9,81.1,17.68
2024-10-24,10.1,91,17.91
2024-10-25,8.8,79.3,16.7
2024-10-26,0,0,5.39
2024-10-27,0,0,2.41
2024-10-28,1.9,17.3,8.97
2024-10-29,7,64.2,14.92
2024-10-30,6.1,56,12.86
2024-10-31,0.9,8.3,7.12
2024-11-01,0,0,0.63
2024-11-02,2.3,21.3,8.43
2024-11-03,9.3,86.1,14.77
2024-11-04,7.1,65.7,11.77
2024-11-05,6.7,62.6,14.07
2024-11-06,9.7,90.7,15.87
2024-11-07,8.8,82.2,14.98
2024-11-08,7.5,70.8,12.28
2024-11-09,2.6,24.5,8.68
2024-11-10,0,0,3.24
2024-11-11,9.6,90.6,14.81
2024-11-12,9.6,91.4,14.29
2024-11-13,9.2,87.6,14.7
2024-11-14,5,47.6,11.09
2024-11-15,0,0,3.22
2024-11-16,3.3,31.7,7.87
2024-11-17,5,48.1,10.77
2024-11-18,9.5,91.3,14.18
2024-11-19,4.4,42.3,10.63
2024-11-20,0,0,2.49
2024-11-21,7.1,68.9,11.17
2024-11-22,9.2,89.3,13.29
2024-11-23,4.8,46.6,7.66
2024-11-24,6.6,64.1,11.55
2024-11-25,1.6,15.7,6.74
2024-11-26,4.4,43.1,9.39
2024-11-27,3.2,31.4,7.54
2024-11-28,4.5,44.1,8.27
2024-11-29,1.3,12.7,3.96
2024-11-30,9.2,91.1,12.6
2024-12-01,3.1,30.7,6.13
2024-12-02,8.9,88.1,11.99
2024-12-03,5.9,58.4,9.7
2024-12-04,8.8,87.1,12.94
2024-12-05,6.3,62.4,9.84
2024-12-06,3.2,31.7,6.43
2024-12-07,7,70,10.73
2024-12-08,8.8,88,12.73
2024-12-09,6.5,65,10.55
2024-12-10,6.7,67,10.95
2024-12-11,0.7,7,4.9
2024-12-12,9.3,93,12.21
2024-12-13,2.8,28,5.96
2024-12-14,6.4,64,11.58
2024-12-15,1,10,4.55
2024-12-16,5.2,52,8.57
2024-12-17,6.9,69,9.74
2024-12-18,8.1,81,12
2024-12-19,8.9,89,12.78
2024-12-20,0.8,8,4.6
2024-12-21,1.8,18,5.89
2024-12-22,9,90,12.88
2024-12-23,7.7,77,11.62
2024-12-24,8.9,89,12.29
2024-12-25,5.2,52,8.6
2024-12-26,8.8,88,12.09
2024-12-27,9.1,91,12.38
2024-12-28,4,40,7.43
2024-12-29,7.4,74,11.96
