일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장태양광,수산태양광,태양광전체
2024-04-01,3035.8,2367.392,298.008,506.6,3183.341,9391.141
2024-04-02,315.2,449.44,49.752,75.4,629.87,1519.662
2024-04-03,366.6,280.704,8.496,40.52,625.531,1321.851
2024-04-04,398,380.128,93.24,130.84,781.011,1783.219
2024-04-05,1677,2124.928,491.4,362.6,4090.905,8746.833
2024-04-06,1305,1025.632,230.976,229.08,2898.415,5689.103
2024-04-07,2571.8,2022.784,181.728,435.32,1968.435,7180.067
2024-04-08,548.4,477.344,62.856,84.32,1210.569,2383.489
2024-04-09,2041.4,2108.32,559.296,422.52,4932.66,10064.196
2024-04-10,2516.2,2273.28,409.68,417.68,4059.809,9676.649
2024-04-11,613,610.112,77.256,93.08,1112.217,2505.665
2024-04-12,2386.6,1729.312,479.16,357.96,4952.183,9905.215
2024-04-13,3095.8,2339.264,635.688,477.4,6672.577,13220.729
2024-04-14,1402.8,1604.352,435.168,351.36,4061.256,7854.936
2024-04-15,1608.4,767.968,167.112,158.88,2555.64,5258
2024-04-16,2956.6,1968.768,328.824,403.68,4279.65,9937.522
2024-04-17,1386.2,1091.168,300.096,259.56,3112.47,6149.494
2024-04-18,3228.6,2376.384,426.672,525.52,4479.24,11036.416
2024-04-19,2429.4,1859.232,515.952,401.88,5408.499,10614.963
2024-04-20,1249.8,528.736,140.472,131.12,2225.879,4276.007
2024-04-21,224,256.544,234.144,200.12,1313.979,2228.787
2024-04-22,139.6,610.272,114.048,124.04,457.759,1445.719
2024-04-23,216,391.136,64.224,78.88,558.278,1308.518
2024-04-24,3120.8,2352.896,519.264,229.52,5688.361,11910.841
2024-04-25,3101.4,3087.072,550.728,580.6,5483.704,12803.504
2024-04-26,1687.4,1431.104,231.192,225.96,3291.815,6867.471
2024-04-27,3107.2,3033.12,329.976,559.68,3432.832,10462.808
2024-04-28,2263,2076.032,462.456,392.2,4958.695,10152.383
2024-04-29,443.4,548.992,20.952,53.16,512.719,1579.223
2024-04-30,2378.2,1634.944,519.984,260.72,5501.785,10295.633
2024-05-01,640.8,1029.856,90.36,0,1401.48,3162.496
2024-05-02,2891.8,2764.352,447.912,486.04,4451.036,11041.14
2024-05-03,3194.6,2992.224,534.672,520.04,5639.908,12881.444
2024-05-04,1628.8,1546.176,427.896,348.04,3408.966,7359.878
2024-05-05,132.6,316.128,5.184,29.32,185.852,669.084
2024-05-06,2279.4,2373.312,538.416,430.48,4052.578,9674.186
2024-05-07,3114,2867.84,511.848,545.12,5200.227,12239.035
2024-05-08,638.2,767.392,144,170.28,1526.586,3246.458
2024-05-09,3161.4,3055.424,383.976,582.68,3858.045,11041.525
2024-05-10,3181.4,3015.712,345.528,572.12,3670.748,10785.508
2024-05-11,951.8,1401.952,307.8,274.76,2853.583,5789.895
2024-05-12,945.8,1072.32,154.296,48.92,1209.12,3430.456
2024-05-13,3169.4,3007.232,517.608,424.92,3902.883,11022.043
2024-05-14,3129.4,3023.232,351.792,581.44,3767.653,10853.517
2024-05-15,2892.8,2615.552,315.216,558.92,3525.394,9907.882
2024-05-16,3336.8,3147.136,496.44,603.28,5085.97,12669.626
2024-05-17,3153.2,3004.16,289.728,579.04,7008.123,14034.251
2024-05-18,3131,2935.904,243.216,571.4,6683.427,13564.947
2024-05-19,3105.6,3002.976,372.96,584.12,6884.465,13950.121
2024-05-20,2662,2507.008,556.056,496.6,5950.868,12172.532
2024-05-21,2187,2842.208,384.408,354.12,3459.586,9227.322
2024-05-22,1888.8,1905.344,360.864,333.52,3270.119,7758.647
2024-05-23,2471.4,2678.688,553.464,477.32,5720.902,11901.774
2024-05-24,3009,3068.448,575.64,565.84,6651.606,13870.534
2024-05-25,2823,3016.48,300.456,454.56,5307.98,11902.476
2024-05-26,523.2,1599.328,168.336,181.92,976.987,3449.771
2024-05-27,1676.6,2009.312,349.2,317.48,3448.741,7801.333
2024-05-28,3180,3131.264,374.472,601.68,7029.816,14317.232
2024-05-29,2986.2,2979.456,633.816,558.36,6565.55,13723.382
2024-05-30,2027.4,1991.296,321.768,50.04,4551.557,8942.061
2024-05-31,1813.2,1785.856,361.512,404.96,4026.539,8392.067
2024-06-01,2766.8,2303.616,374.688,47.4,4409.817,9902.321
2024-06-02,2370.6,2388.096,327.312,0,3265.059,8351.067
2024-06-03,2534.6,2430.464,421.56,365.32,4081.504,9833.448
2024-06-04,2451.8,2986.112,650.088,576.72,6018.118,12682.838
2024-06-05,1620.6,2004.736,393.048,358.64,3557.208,7934.232
2024-06-06,1039.8,809.984,202.392,212.4,2248.295,4512.871
2024-06-07,1134.4,1875.36,277.128,273.72,2578.057,6138.665
2024-06-08,912.8,1047.584,115.776,152.36,1600.349,3828.869
2024-06-09,1217.2,1415.904,232.128,241.72,2445.719,5552.671
2024-06-10,2865.2,2802.592,572.544,519.76,6117.919,12878.015
2024-06-11,2255.4,2226.688,463.176,428.16,4808.275,10181.699
2024-06-12,2176.6,2238.208,425.52,416.32,4729.45,9986.098
2024-06-13,2681.8,2805.472,612.432,575.32,5992.808,12667.832
2024-06-14,265.6,2510.88,468.864,432.6,3677.258,7355.202
2024-06-15,1642.8,2825.856,476.784,427.44,4166.116,9538.996
2024-06-16,1679,2545.696,540.504,476.36,6093.33,11334.89
2024-06-17,721.8,777.376,82.08,130.52,1337.118,3048.894
2024-06-18,3109.6,2990.336,628.848,586.76,6727.538,14043.082
2024-06-19,1931.8,1963.136,394.128,380.4,4345.455,9014.919
2024-06-20,108,182.784,0,21,172.103,483.887
2024-06-21,1086.4,2153.056,196.92,287.64,2251.192,5975.208
2024-06-22,331.4,805.664,21.456,61.32,538.75,1758.59
2024-06-23,1271.6,1268.128,196.344,205.96,2454.398,5396.43
2024-06-24,1627.4,2252.576,341.352,326.08,3682.321,8229.729
2024-06-25,824,822.976,103.464,147.36,1640.123,3537.923
2024-06-26,1562.8,1682.176,283.176,283.92,3189.125,7001.197
2024-06-27,270.4,226.4,9.432,50.28,420.154,976.666
2024-06-28,950.6,1581.056,372.168,348.84,2102.944,5355.608
2024-06-29,134.4,446.976,11.016,40.48,182.232,815.104
2024-06-30,880.2,876.672,77.976,118.6,1177.299,3130.747
