일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장태양광,수산태양광,태양광전체
2024-09-01,1666,2451,387,441,4878,9823
2024-09-02,2119,2581,329,381,4345,9754
2024-09-03,1189,1797,200,253,2339,5778
2024-09-04,1912,2579,355,403,3593,8843
2024-09-05,1806,2746,395,437,5273,10657
2024-09-06,1532,2339,305,359,4942,9477
2024-09-07,1477,2308,166,226,3157,7333
2024-09-08,1334,1500,363,404,3686,7287
2024-09-09,1980,2401,388,416,4515,9700
2024-09-10,1271,1267,266,329,3531,6664
2024-09-11,749,1453,108,162,1903,4373
2024-09-12,1848,2581,360,405,4433,9627
2024-09-13,1732,2414,416,462,5343,10368
2024-09-14,2638,2735,405,429,5472,11679
2024-09-15,1425,1649,315,346,3680,7416
2024-09-16,755,1065,154,210,1786,3971
2024-09-17,996,884,198,242,2020,4340
2024-09-18,1821,2275,372,409,4581,9457
2024-09-19,972,1423,306,350,3431,6483
2024-09-20,499,830,56,108,987,2480
2024-09-21,231,370,20,60,556,1237
2024-09-22,693,321,52,112,1823,3002
2024-09-23,819,2170,269,295,2455,6008
2024-09-24,1279,1847,221,263,2211,5821
2024-09-25,851,1292,286,223,1637,4289
2024-09-26,1994,2387,354,356,3940,9031
2024-09-27,2406,2345,375,376,5399,10901
2024-09-28,1877,2282,358,380,3481,8379
2024-09-29,928,1851,326,360,3063,6528
2024-09-30,1403,2353,385,378,2649,7167
2024-10-01,919,1342,236,269,1951,4717
2024-10-02,1677,1757,264,300,4005,8003
2024-10-03,444,315,8,41,1083,1891
2024-10-04,1636,1982,390,404,3913,8326
2024-10-05,1812,1796,305,332,3760,8005
2024-10-06,892,868,121,182,2073,4137
2024-10-07,663,759,56,123,1500,3100
2024-10-08,2240,1734,371,399,5563,10307
2024-10-09,449,485,12,46,965,1957
2024-10-10,1412,1360,239,274,3181,6467
2024-10-11,1986,1787,353,334,5064,9523
2024-10-12,2085,2047,284,297,3896,8608
2024-10-13,2042,2169,311,329,3789,8641
2024-10-14,416,678,82,115,858,2149
2024-10-15,664,896,121,176,2050,3906
2024-10-16,1374,1551,236,276,3065,6502
2024-10-17,426,736,42,107,817,2128
2024-10-18,716,1602,140,180,1279,3917
2024-10-19,545,298,96,147,2377,3463
2024-10-20,298,866,89,147,780,2179
2024-10-21,281,649,54,59,665,1708
2024-10-22,683,730,182,208,1924,3728
2024-10-23,1608,1166,198,230,3959,7160
2024-10-24,2707,2584,442,429,6168,12330
2024-10-25,1308,1977,208,237,3160,6889
2024-10-26,124,352,42,81,289,888
2024-10-27,224,287,8,53,422,994
2024-10-28,685,315,119,178,2378,3676
2024-10-29,792,1778,176,183,1939,4868
2024-10-30,1781,1764,289,275,3700,7809
2024-10-31,819,982,92,149,1645,3687
2024-11-01,32,46, - ,0,40,118
2024-11-02,637,535,55,112,1400,2739
2024-11-03,1802,2045,335,302,3833,8317
2024-11-04,1516,1370,258,257,3728,7128
2024-11-05,1820,1147,226,254,4664,8111
2024-11-06,2367,1692,373,350,5453,10235
2024-11-07,2170,2015,349,330,4897,9760
2024-11-08,1187,1735,275,272,3745,7214
2024-11-09,690,1128,174,215,1695,3902
2024-11-10,210,290,10,47,522,1079
2024-11-11,2219,2171,361,362,5228,10341
2024-11-12,2062,1736,314,330,4746,9188
2024-11-13,1506,2013,177,201,2438,6336
2024-11-14,1529,1869,248,238,3003,6887
2024-11-15,140,668, - ,22,161,991
2024-11-16,607,1361,124,157,1307,3557
2024-11-17,1785,1819,326,325,4694,8949
2024-11-18,2121,2048,403,390,5547,10510
2024-11-19,716,999,8,39,1467,3229
2024-11-20,285,345,4,32,500,1166
2024-11-21,1815,1814,296,302,4759,8987
2024-11-22,1271,1115,301,289,3551,6527
2024-11-23,1520,374,336,315,5100,7646
2024-11-24,448,386,44,83,1448,2408
2024-11-25,581,1004,90,144,1473,3292
2024-11-26,509,460,94,123,1490,2677
2024-11-27,348,390,34,59,1958,2788
2024-11-28,744,584,79,83,2520,4011
2024-11-29,428,314,51,100,1156,2049
2024-11-30,1833,1893,349,341,4996,9412
2024-12-01,793,1098,153,161,2665,4870
2024-12-02,1760,1618,301,304,4158,8142
2024-12-03,1595,745,234,241,4369,7184
2024-12-04,1308,1002,231,211,4400,7152
2024-12-05,771,660,235,178,3112,4957
2024-12-06,633,677,155,144,1794,3403
2024-12-07,1481,1439,363,230,3976,7490
2024-12-08,759,163,56,81,3128,4187
2024-12-09,525,352,85,99,1444,2506
2024-12-10,1172,1114,307,200,3622,6415
2024-12-11,723,560,164,139,1822,3408
2024-12-12,1737,1336,565,272,4952,8863
2024-12-13,314,432,192,83,2065,3085
2024-12-14,612,288,43,40,3596,4580
2024-12-15,306,263,40,43,731,1383
2024-12-16,402,365,138,90,763,1758
2024-12-17,1182,733,309,150,2732,5105
2024-12-18,746,231,67,40,2195,3280
2024-12-19,1803,1814,575,300,4844,9337
2024-12-20,499,473,122,83,955,2132
2024-12-21,202,220,42,40,681,1184
2024-12-22,1183,171,215,112,3823,5505
2024-12-23,1254,527,471,198,3434,5883
2024-12-24,1704,1150,627,252,4314,8047
2024-12-25,1272,1172,482,197,2851,5974
2024-12-26,1580,1077,537,229,3402,6825
2024-12-27,613,477,102,78,1454,2724
2024-12-28,568,560,107,2,1758,2995
2024-12-29,1220,1027,298,149,2415,5109
2024-12-30,1370,1482,497,196,3637,7182
2024-12-31,1845,1462,707,306,4944,9264
