일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장태양광,수산태양광,태양광전체
2025-07-01,1783,2711,703,403,6182,11782
2025-07-02,2661,2770,863,509,5815,12618
2025-07-03,2431,2776,860,506,5949,12522
2025-07-04,2659,2627,845,494,5843,12467
2025-07-05,1860,2777,870,500,4078,10085
2025-07-06,2370,2847,870,499,5028,11614
2025-07-07,2113,2607,845,472,4963,11001
2025-07-08,1193,2672,547,317,2401,7129
2025-07-09,408,1684,432,250,916,3689
2025-07-10,717,1407,580,289,1625,4618
2025-07-11,203,364,399,197,560,1723
2025-07-12,159,254,146,83,428,1070
2025-07-13,435,247,20,19,650,1371
2025-07-14,2396,2233,926,515,5719,11788
2025-07-15,2761,2568,771,467,4228,10795
2025-07-16,903,895,163,113,1939,4012
2025-07-17,1641,2044,559,294,2781,7319
2025-07-18,897,1376,393,218,2547,5432
2025-07-19,940,1721,492,276,1945,5375
2025-07-20,928,2383,417,258,2698,6683
2025-07-21,2565,2496,804,445,4624,10934
2025-07-22,2242,2490,759,432,5104,11026
2025-07-23,2411,2816,869,489,6110,12695
2025-07-24,2640,2853,879,470,6305,13147
2025-07-25,2459,2445,862,467,5115,11347
2025-07-26,1880,2136,819,446,3759,9040
2025-07-27,1604,1681,779,427,3997,8488
2025-07-28,2959,2860,888,493,6155,13355
2025-07-29,2733,2834,876,483,5666,12591
2025-07-30,1312,811,642,368,3702,6836
2025-07-31,1770,2875,836,465,4076,10021
2025-08-01,2289,2477,779,420,4640,10604
2025-08-02,2455,2717,847,459,5879,12357
2025-08-03,544,835,370,204,2075,4028
2025-08-04,1947,2209,402,225,3291,8074
2025-08-05,2091,2662,404,215,5288,10660
2025-08-06,1341,2618,552,288,2651,7450
2025-08-07,1332,1229,394,212,3078,6245
2025-08-08,1059,1521,535,272,3014,6401
2025-08-09,665,749,174,91,1015,2693
2025-08-10,695,904,236,111,1404,3349
2025-08-11,285,315,92,52,479,1224
2025-08-12,1673,1259,635,259,3477,7303
2025-08-13,2732,2626,1067,430,5396,12251
2025-08-14,1653,2216,1007,422,4087,9384
2025-08-15,1787,2455,1069,459,4126,9896
2025-08-16,1562,2621,1029,443,4359,10015
2025-08-17,1477,2431,949,382,4226,9465
2025-08-18,2335,2018,923,374,5554,11204
2025-08-19,1730,2361,766,305,4056,9219
2025-08-20,2426,2082,1004,419,5299,11230
2025-08-21,2021,2456,1080,449,4621,10627
2025-08-22,1908,2361,1004,407,3186,8865
2025-08-23,1738,2675,941,392,4435,10181
2025-08-24,1299,1619,825,337,3016,7096
2025-08-25,1892,1612,877,348,4202,8931
2025-08-26,2229,2477,944,372,4766,10789
2025-08-27,805,2040,915,377,2527,6664
2025-08-28,1669,1608,744,312,4205,8537
2025-08-29,1210,1716,955,380,2213,6474
2025-08-30,2115,1996,818,328,4889,10145
2025-08-31,1703,1433,690,269,3712,7808
2025-09-01,468,2086,641,254,2973,6423
2025-09-02,659,1416,402,179,1979,4635
2025-09-03,1716,1248,888,345,3583,7780
2025-09-04,1903,2205,1033,409,3069,8619
2025-09-05,1082,1552,656,272,2515,6078
2025-09-06,1665,1988,770,291,4708,9422
2025-09-07,2069,2141,511,202,4237,9160
2025-09-08,1040,1370,475,193,3031,6109
2025-09-09,696,500,238,117,1404,2955
2025-09-10,542,541,344,168,1364,2960
2025-09-11,652,1389,682,271,1503,4498
2025-09-12,2095,2024,767,294,4417,9597
2025-09-13,954,1181,315,152,1831,4433
2025-09-14,1140,1668,772,292,3281,7153
2025-09-15,1747,1873,670,254,3886,8429
2025-09-16,1077,2536,742,292,3322,7969
2025-09-17,2216,2320,903,361,4897,10698
2025-09-18,2208,2233,845,330,5299,10915
2025-09-19,612,1924,176,102,1067,3881
2025-09-20,420,689,395,174,2991,4670
2025-09-21,1946,1790,796,305,3870,8707
2025-09-22,851,1974,1102,436,2699,7062
2025-09-23,345,1513,650,281,943,3733
2025-09-24,1812,2005,474,228,4309,8828
2025-09-25,1135,1020,511,211,2290,5166
2025-09-26,662,604,207,111,1236,2820
2025-09-27,270,494,102,61,745,1672
2025-09-28,1665,1459,687,260,4088,8160
2025-09-29,1805,1495,664,257,4690,8911
2025-09-30,1352,1237,507,240,2926,6262
