일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장태양광,수산태양광,태양광전체
2024-07-01,726.4,1200.352,111.096,147.32,1709.545,3894.713
2024-07-02,846,2898.176,478.8,453.36,1355.918,6032.254
2024-07-03,1505.8,2424.736,379.512,386.12,4329.547,9025.715
2024-07-04,2878.2,2889.12,544.824,532.24,6387.65,13232.034
2024-07-05,2518.2,2440.576,515.52,503.4,4288.325,10266.021
2024-07-06,2928.4,2656.128,510.984,493,5903.858,12492.37
2024-07-07,2164,2008.256,430.488,426.72,4733.79,9763.254
2024-07-08,2441.8,2445.504,418.032,409.88,5475.025,11190.241
2024-07-09,2123.2,2355.712,392.688,389.4,4534.2,9795.2
2024-07-10,431.8,455.36,19.728,52.8,701.463,1661.151
2024-07-11,517,682.464,51.624,87.72,1193.933,2532.741
2024-07-12,910,1660.704,262.728,290.04,3236.853,6360.325
2024-07-13,363.2,580.032,44.136,88.6,875.02,1950.988
2024-07-14,618.6,837.088,61.416,93.72,1295.176,2906
2024-07-15,731.6,966.112,116.568,141.88,1448.485,3404.645
2024-07-16,728.2,2238.912,281.16,287.12,3251.316,6786.708
2024-07-17,1289.8,2817.696,462.456,430.96,3246.978,8247.89
2024-07-18,1751.8,1821.6,281.664,290.56,3218.05,7363.674
2024-07-19,1288.8,1477.536,232.704,233.84,3145.736,6378.616
2024-07-20,2566.2,2946.432,533.592,500.8,5140.931,11687.955
2024-07-21,2206.4,1773.856,336.816,333.56,5482.259,10132.891
2024-07-22,2539.2,2662.56,496.224,470.64,5067.167,11235.791
2024-07-23,2208.6,2800.512,521.784,492.16,4061.977,10085.033
2024-07-24,2028.8,2406.752,315.144,276.72,4160.327,9187.743
2024-07-25,1425.2,1941.536,449.928,474.04,3879.014,8169.718
2024-07-26,442.8,425.088,183.24,203.84,2267.1,3522.068
2024-07-27,620.6,1045.92,328.968,314.6,2578.058,4888.146
2024-07-28,2522.4,2659.616,530.784,498.4,5255.911,11467.111
2024-07-29,2244.8,2546.752,526.536,490,5267.483,11075.571
2024-07-30,2068.4,2969.6,563.112,529.12,5315.207,11445.439
2024-07-31,2048.4,2672.352,566.928,526.28,6209.034,12022.994
2024-08-01,2270.8,2771.328,505.728,469.48,5960.267,11977.603
2024-08-02,2153.4,2693.952,521.28,481.84,3593.37,9443.842
2024-08-03,1747,2376.16,523.224,481.48,3765.483,8893.347
2024-08-04,1491.2,2769.248,538.272,492,3068.359,8359.079
2024-08-05,1614.8,1925.12,526.536,474.2,4108.982,8649.638
2024-08-06,2172.6,2379.072,486.864,446,4566.021,10050.557
2024-08-07,2852.2,2788.864,533.376,485.96,6052.831,12713.231
2024-08-08,2677.4,2621.536,523.656,484.68,5710.777,12018.049
2024-08-09,1408.4,2768.512,525.528,478.2,4153.821,9334.461
2024-08-10,1934.8,2510.656,510.552,467.56,4524.796,9948.364
2024-08-11,1965.8,2672.16,523.008,455.64,4532.753,10149.361
2024-08-12,2793.4,2881.76,553.752,499.8,5887.953,12616.665
2024-08-13,2275.6,2461.152,519.696,452,4614.471,10322.919
2024-08-14,1100.8,1122.496,283.32,293.48,2833.33,5633.426
2024-08-15,1202,1196.448,165.168,181.56,2537.563,5282.739
2024-08-16,1949.6,1765.12,409.752,354.68,5512.633,9991.785
2024-08-17,1253,1811.264,415.224,401.36,3384.381,7265.229
2024-08-18,1745,2351.488,418.608,363.2,3240.47,8118.766
2024-08-19,2048.4,2786.368,529.416,202.16,5080.907,10647.251
2024-08-20,981.6,1137.504,255.24,13.72,3060.403,5448.467
2024-08-21,1131.8,1787.488,199.008,276.52,2900.589,6295.405
2024-08-22,1720.6,1937.824,228.384,311.76,3918.067,8116.635
2024-08-23,1352.8,1786.176,318.312,399.76,3149.351,7006.399
2024-08-24,1561.2,2370.592,382.392,454.96,4635.441,9404.585
2024-08-25,2527.6,2756.512,388.728,454.44,6079.587,12206.867
2024-08-26,1892.4,2505.792,370.944,444.8,5285.559,10499.495
2024-08-27,1489.6,1763.328,327.744,389.6,3964.353,7934.625
2024-08-28,437.4,961.024,222.48,295.24,1640.848,3556.992
2024-08-29,1806,1836.384,318.6,363.28,4409.814,8734.078
2024-08-30,2961.2,2596.256,445.32,499.84,6457.077,12959.693
2024-08-31,3065.6,2589.28,455.256,516.16,6680.532,13306.828
2024-09-01,1665.6,2451.328,387.288,440.6,4877.699,9822.515
2024-09-02,2118.6,2580.736,328.896,380.68,4344.73,9753.642
2024-09-03,1189.2,1796.928,199.656,252.8,2339.414,5777.998
2024-09-04,1911.8,2579.328,355.32,402.8,3593.373,8842.621
2024-09-05,1805.8,2746.368,395.352,437.12,5272.545,10657.185
2024-09-06,1532.4,2338.56,304.704,359.04,4942.06,9476.764
