ÀÏ½Ã,°¡½Ã¸®Ç³·Â,±è³çÇ³·Â,µ¿º¹Ç³·Â,½ÅÃ¢Ç³·Â,Çà¿øÇ³·Â,Ç³·ÂÀüÃ¼
2025-07-01,20329.92,246.78,1008,1008.54,2295.601,24888.841
2025-07-02,7961.76,174.42,1353.6,567.54,1423.199,11480.519
2025-07-03,25711.2,318.96,7228.8,694.08,938.4,34891.44
2025-07-04,36656.64,225,4694.4,1725.3,2457.497,45758.837
2025-07-05,14492.16,111.42,806.4,1684.08,48.034,17142.094
2025-07-06,1058.4,102.06,1785.6,1164.78,34.796,4145.636
2025-07-07,128.16,89.82,0,54.54,3.715,276.235
2025-07-08,2246.4,1625.94,43977.6,383.4,16140.365,64373.705
2025-07-09,4955.04,2785.86,73641.6,846.72,33452.086,115681.306
2025-07-10,60043.68,7404.12,207244.8,2018.34,64500.165,341211.105
2025-07-11,118146.24,3042.18,354211.2,4735.62,79425.597,559560.837
2025-07-12,57952.8,4382.28,181497.6,2194.2,45791.509,291818.389
2025-07-13,88162.56,2200.68,27849.6,9087.48,21336,148636.32
2025-07-14,93002.4,6593.76,174787.2,4554.18,52717.2,331654.74
2025-07-15,19980,4214.16,111398.4,2469.24,27101.999,165163.799
2025-07-16,98893.44,2839.86,193968,3225.78,39193.2,338120.28
2025-07-17,191289.6,4363.2,221904,11745.9,54456.006,483758.706
2025-07-18,93427.2,1965.6,108288,5810.76,29281.827,238773.387
2025-07-19,143611.2,3457.8,202752,9281.88,49940.863,409043.743
2025-07-20,66124.8,2174.4,126547.2,5547.24,35510.781,235904.421
2025-07-21,48844.8,1580.4,77702.4,2801.88,27979.635,158909.115
2025-07-22,10612.8,765,58924.8,2133.36,8244,80679.96
2025-07-23,100.8,315,15379.2,208.8,252,16255.8
2025-07-24,1094.4,361.8,16560,607.14,858.627,19481.967
2025-07-25,12873.6,1715.4,72259.2,2692.8,24054.914,113595.914
2025-07-26,31435.2,1045.8,73353.6,5495.4,26472.004,137802.004
2025-07-27,40003.2,2190.6,112838.4,1927.8,47171.996,204131.996
2025-07-28,6408,601.2,35452.8,928.8,4127.999,47518.799
2025-07-29,9777.6,1468.8,52243.2,3033,14160.004,80682.604
2025-07-30,33364.8,3061.8,146217.6,5520.6,53412,241576.8
2025-07-31,36028.8,2151,105840,5576.4,28920.001,178516.201
2025-08-01,907.2,835.2,23731.2,194.4,4439.998,30107.998
2025-08-02,374.4,144,288,601.2,2472,3879.6
2025-08-03,103622.4,1234.8,186278.4,8785.8,33575.996,333497.396
2025-08-04,71539.2,99,16444.8,6337.8,9383.999,103804.799
2025-08-05,89222.4,709.2,56332.8,4314.6,8280.001,158859.001
2025-08-06,114638.4,1164.6,39600,9684,37596.004,202683.004
2025-08-07,25027.2,1560.6,70848,2763,22475.999,122674.799
2025-08-08,2548.8,75.6,3657.6,0,1355.998,7637.998
2025-08-09,10555.2,390.6,8092.8,1890,4320,25248.6
2025-08-10,26654.4,2988,116582.4,990,31331.997,178546.797
2025-08-11,8438.4,320.4,9216,889.2,2915.998,21779.998
2025-08-12,63230.4,561.6,20592,3519,11375.999,99278.999
2025-08-13,82238.4,1814.4,132508.8,3819.6,24647.998,245029.198
2025-08-14,8352,313.2,10080,712.8,2892.002,22350.002
2025-08-15,57.6,113.4,316.8,0,168,655.8
2025-08-16,4507.2,115.2,2678.4,0,636,7936.8
2025-08-17,432,275.4,5414.4,126,1212,7459.8
2025-08-18,2577.6,156.6,2793.6,685.8,1152,7365.6
2025-08-19,6177.6,349.2,11232,718.2,2148,20625
2025-08-20,3441.6,599.4,27561.6,293.4,2988,34884
2025-08-21,676.8,180,7142.4,36,36,8071.2
2025-08-22,1627.2,90,28.8,93.6,0,1839.6
2025-08-23,1137.6,109.8,6508.8,0,12,7768.2
2025-08-24,2534.4,120.6,2937.6,0,492,6084.6
2025-08-25,24091.2,239.4,5184,0,1908,31422.6
2025-08-26,12283.2,1917,50544,0,6120,70864.2
2025-08-27,172.8,120.6,3139.2,0,228,3660.6
2025-08-28,417.6,219.6,6220.8,0,372,7230
2025-08-29,2908.8,106.2,720,0,156,3891
2025-08-30,1540.8,252,14688,0,2016,18496.8
2025-08-31,7084.8,581.4,28742.4,0,3864,40272.6
2025-09-01,16142.4,783,15868.8,0,4896,37690.2
2025-09-02,9446.4,183.6,10080,0,984,20694
2025-09-03,2390.4,964.8,23788.8,0,5880,33024
2025-09-04,6379.2,1409.4,33436.8,0,14616,55841.4
2025-09-05,3758.4,174.6,10713.6,0,600,15246.6
2025-09-06,7833.6,93.6,6595.2,0,108,14630.4
2025-09-07,16387.2,968.4,33379.2,0,5112,55846.8
2025-09-08,720,99,2707.2,0,348,3874.2
2025-09-09,12369.6,1395,29030.4,0,17976,60771
2025-09-10,13449.6,133.2,15206.4,0,7968,36757.2
2025-09-11,42379.2,2813.4,178790.4,1260,51780,277023
2025-09-12,44553.6,480.6,142329.6,0,20040,207403.8
2025-09-13,45748.8,14.4,64540.8,0,4848,115152
2025-09-14,1756.8,64.8,14313.6,0,1068,17203.2
2025-09-15,2865.6,81,11318.4,0,252,14517
2025-09-16,2851.2,61.2,1987.2,0,0,4899.6
2025-09-17,33408,241.2,38678.4,0,5196,77523.6
2025-09-18,51969.6,2007,54403.2,208.8,27336,135924.6
2025-09-19,9100.8,4856.4,109267.2,730.8,61392.001,185347.201
2025-09-20,103968,2088,136281.6,945,36959.997,280242.597
2025-09-21,45043.2,1933.2,113558.4,0,30576,191110.8
2025-09-22,65476.8,6573.6,296092.8,1454.4,93804.002,463401.602
2025-09-23,27302.4,6363,181785.6,2246.4,109332.001,327029.401
2025-09-24,15465.6,306,30038.4,1571.4,17184.005,64565.405
2025-09-25,5832,333,15753.6,1044,5915.997,28878.597
2025-09-26,43.2,12.6,172.8,333,360,921.6
2025-09-27,9604.8,1139.4,52185.6,504,29568.001,93001.801
2025-09-28,19108.8,1209.6,89683.2,2653.2,35088,147742.8
2025-09-29,58766.4,865.8,49219.2,4626,29292.001,142769.401
2025-09-30,48110.4,194.4,4377.6,473.4,6528,59683.8
