ÀÏ½Ã,°¡½Ã¸®Ç³·Â,±è³çÇ³·Â,µ¿º¹Ç³·Â,½ÅÃ¢Ç³·Â,Çà¿øÇ³·Â,Ç³·ÂÀüÃ¼
2025-04-01,74069.28,1023.3,24393.6,9180.54,6857.647,115524.367
2025-04-02,94168.8,1789.02,37584,4536.72,14429.499,152508.039
2025-04-03,114193.44,3195.54,96739.2,4110.66,25806.28,244045.12
2025-04-04,11973.6,447.3,15868.8,34.74,2359.993,30684.433
2025-04-05,87763.68,2547.18,62496,0,14957.809,167764.669
2025-04-06,45740.16,2380.14,46166.4,0,16403.663,110690.363
2025-04-07,37067.04,277.2,1497.6,0,380.59,39222.43
2025-04-08,91474.56,4613.94,105753.6,0,14407.302,216249.402
2025-04-09,19221.12,1486.62,27763.2,0,11135.295,59606.235
2025-04-10,53376.48,4738.86,86400,0,27787.434,172302.774
2025-04-11,23009.76,1672.92,36000,0,12197.058,72879.738
2025-04-12,79807.68,4084.2,291830.4,0,36243.067,411965.347
2025-04-13,43881.12,4054.5,412012.8,0,22186.574,482134.994
2025-04-14,88129.44,3666.6,468748.8,0,18381.721,578926.561
2025-04-15,40318.56,3850.38,291686.4,0,13352.816,349208.156
2025-04-16,91850.4,1865.88,28051.2,0,10596.099,132363.579
2025-04-17,171750.24,2518.92,27907.2,0,29678.227,231854.587
2025-04-18,86159.52,1143.54,10684.8,0,5359.241,103347.101
2025-04-19,125768.16,3621.24,308361.6,0,43048.262,480799.262
2025-04-20,8327.52,78.84,32227.2,0,8495.852,49129.412
2025-04-21,501.12,2259,170208,9.18,24059.645,197036.945
2025-04-22,86097.6,5160.78,163382.4,4739.22,40156.275,299536.275
2025-04-23,52009.92,3020.22,57686.4,6344.1,16006.329,135066.969
2025-04-24,57735.36,3999.06,82713.6,2567.52,23785.828,170801.368
2025-04-25,116804.16,6457.5,144835.2,4833.72,44241.355,317171.935
2025-04-26,55719.36,1148.76,25171.2,0,10716.634,92755.954
2025-04-27,4616.64,540.54,14198.4,182.52,3269.166,22807.266
2025-04-28,46617.12,5729.04,144662.4,2759.04,30883.133,230650.733
2025-04-29,63678.24,2054.88,44812.8,137.88,15670.81,126354.61
2025-04-30,40842.72,1043.1,81648,5577.66,10007.043,139118.523
2025-05-01,111866.4,4334.76,225792,899.64,35718.458,378611.258
2025-05-02,60048,4509.72,98150.4,261.18,25952.75,188922.05
2025-05-03,134638.56,7068.42,242640,5170.5,43927.012,433444.492
2025-05-04,43604.64,1354.14,30326.4,2629.62,12887.166,90801.966
2025-05-05,5271.84,1097.28,76003.2,2599.56,9589.913,94561.793
2025-05-06,39715.2,2326.5,56246.4,1746.36,17617.925,117652.385
2025-05-07,31357.44,707.94,23212.8,542.7,5337.157,61158.037
2025-05-08,12116.16,1550.34,82598.4,3588.3,10972.048,110825.248
