ÀÏ½Ã,°¡½Ã¸®Ç³·Â,±è³çÇ³·Â,µ¿º¹Ç³·Â,½ÅÃ¢Ç³·Â,Çà¿øÇ³·Â,Ç³·ÂÀüÃ¼
2024-04-01,10955.52,401.22,9388.8,396.36,5314.099,26455.999
2024-04-02,57620.16,4571.46,167644.8,0,37945.834,267782.254
2024-04-03,31623.84,1289.7,25200,0,12916.95,71030.49
2024-04-04,1419.84,1355.58,17596.8,0,17348.085,37720.305
2024-04-05,14988.96,1969.38,45907.2,0,16328.316,79193.856
2024-04-06,33310.08,62.28,57.6,0,345.6,33775.56
2024-04-07,4669.92,286.38,1958.4,0,1164,8078.7
2024-04-08,25983.36,165.42,6681.6,0,828,33658.38
2024-04-09,22383.36,2812.5,72662.4,0,21643.393,119501.653
2024-04-10,6048,2087.82,56419.2,0,17559.11,82114.13
2024-04-11,4046.4,828.18,74966.4,0,8107.881,87948.861
2024-04-12,440.64,778.5,38016,0,3985.605,43220.745
2024-04-13,30.24,394.38,36950.4,0,1916.316,39291.336
2024-04-14,57260.16,4373.1,287020.8,0,38062.814,386716.874
2024-04-15,79555.68,7955.1,243878.4,0,59650.967,391040.147
2024-04-16,39258.72,2339.28,43948.8,0,19362.063,104908.863
2024-04-17,10582.56,296.82,1728,0,2885.408,15492.788
2024-04-18,68457.6,2349.72,56534.4,0,19064.492,146406.212
2024-04-19,15243.84,788.58,16588.8,0,7262.553,39883.773
2024-04-20,66529.44,3239.64,100598.4,0,33804.655,204172.135
2024-04-21,698.4,247.68,1929.6,0,1783.792,4659.472
2024-04-22,22200.48,5382,120412.8,0,49603.15,197598.43
2024-04-23,21132,9053.1,155088,0,54480.588,239753.688
2024-04-24,46215.36,5144.4,122947.2,0,33159.304,207466.264
2024-04-25,25427.52,1246.14,22521.6,0,13632.469,62827.729
2024-04-26,982.08,48.96,259.2,0,318.171,1608.411
2024-04-27,7843.68,306.18,2793.6,0,558.263,11501.723
2024-04-28,2221.92,435.06,20966.4,0,2505.126,26128.506
2024-04-29,24612.48,5840.64,160934.4,0,32107.341,223494.861
2024-04-30,33043.68,2435.04,43372.8,0,24446.365,103297.885
2024-05-01,38255.04,4574.52,96451.2,0,37116.011,176396.771
2024-05-02,28408.32,1334.7,28051.2,0,10246.959,68041.179
2024-05-03,31419.36,398.88,11606.4,0,2599.449,46024.089
2024-05-04,55219.68,2236.32,117244.8,4906.98,23617.53,203225.31
2024-05-05,228008.16,2764.62,314121.6,5787.72,64145.884,614827.984
2024-05-06,8271.36,2142.54,112608,1597.86,37610.024,162229.784
2024-05-07,70420.32,10435.86,192470.4,5656.14,50821.862,329804.582
2024-05-08,37856.16,3836.88,107913.6,5377.68,36275.69,191260.01
2024-05-09,13315.68,1195.02,30384,96.48,13761.862,58753.042
2024-05-10,43372.8,900.18,26726.4,0,11449.814,82449.194
2024-05-11,140513.76,5124.06,244713.6,0,51384.892,441736.312
2024-05-12,201535.2,6589.08,147772.8,2838.96,78156.925,436892.965
2024-05-13,77513.76,1218.42,38908.8,3204.36,18109.73,138955.07
2024-05-14,4348.8,282.6,720,25.02,2547.749,7924.169
2024-05-15,58786.56,6611.58,232300.8,429.3,54980.273,353108.513
2024-05-16,90360,11259,342604.8,3486.06,86000.867,533710.727
2024-05-17,64235.52,1733.94,16272,7353.72,14171.769,103766.949
2024-05-18,10591.2,1504.44,31708.8,3406.5,12571.737,59782.677
2024-05-19,3238.56,1198.08,8784,481.86,10631.827,24334.327
2024-05-20,12952.8,687.42,12297.6,714.42,9842.691,36494.931
2024-05-21,9024.48,2252.16,58032,1265.58,24350.247,94924.467
2024-05-22,4.32,1454.22,30844.8,0,11812.612,44115.952
2024-05-23,9515.52,894.06,15523.2,170.28,10595.076,36698.136
2024-05-24,58390.56,1841.22,38736,3385.08,22969.452,125322.312
2024-05-25,9050.4,3517.56,100540.8,282.96,31127.593,144519.313
2024-05-26,23292,2501.64,112838.4,10650.24,34367.958,183650.238
2024-05-27,138667.68,5143.32,90230.4,9115.92,54857.605,298014.925
2024-05-28,77790.24,1255.86,41904,11781,16439.275,149170.375
2024-05-29,33.12,509.76,10512,547.2,1639.935,13242.015
2024-05-30,2841.12,368.28,15609.6,971.1,2822.76,22612.86
2024-05-31,27757.44,1066.5,19094.4,494.64,13973.657,62386.637
2024-06-01,86078.88,6591.78,112694.4,12181.32,57292.221,274838.601
